namespace,namespace_name,namespace_url,namespace_lang,route_path,route_name,category,uses_browser,requirePuppeteer_flag,anti_crawler,require_config_vars,file
36kr,36kr,36kr.com,zh-CN,/36kr/:category/:subCategory?/:keyword?,"资讯, 快讯, 用户文章, 主题文章, 专题文章, 搜索文章, 搜索快讯",new-media,False,False,False,,lib/routes/36kr/index.ts
3dmgame,3DMGame,3dmgame.com,zh-CN,/3dmgame/games/:name/:type?,游戏名字，可以在专题页的 url 中找到,game,False,False,False,,lib/routes/3dmgame/game.ts
3dmgame,3DMGame,3dmgame.com,zh-CN,/3dmgame/news/:category?,新闻中心,game,False,False,False,,lib/routes/3dmgame/news-center.ts
3gmuseum,Chongqing China Three Gorges Museum,www.3gmuseum.cn,,/3gmuseum/tempexhibition,Temporary Exhibition,travel,False,False,False,,lib/routes/3gmuseum/exhibition.tsx
3kns,3k-Switch游戏库,www.3kns.com,zh-CN,/3kns/:filters?/:order?,3k-Switch游戏库,game,False,False,False,,lib/routes/3kns/index.tsx
423down,423Down,423down.com,zh-CN,/423down/:category{.+}?,423Down,program-update,False,False,False,,lib/routes/423down/index.ts
4399,4399,www.4399.com,zh-CN,/4399/forums/:mtag,论坛,game,False,False,False,GAME_4399,lib/routes/4399/forum.ts
4chan,4chan,4chan.org,en,/4chan/:board/catalog/:routeParams?,Board's catalog,bbs,False,False,False,,lib/routes/4chan/catalog.tsx
4gamers,4Gamers,www.4gamers.com.tw,zh-TW,/4gamers/category/:category,分类,game,False,False,False,,lib/routes/4gamers/category.ts
4gamers,4Gamers,www.4gamers.com.tw,zh-TW,/4gamers/,最新消息,game,False,False,False,,lib/routes/4gamers/index.ts
4gamers,4Gamers,www.4gamers.com.tw,zh-TW,/4gamers/tag/:tag,标签,game,False,False,False,,lib/routes/4gamers/tag.ts
4gamers,4Gamers,www.4gamers.com.tw,zh-TW,/4gamers/topic/:topic,主題,game,False,False,False,,lib/routes/4gamers/topic.ts
4khd,4KHD,www.4khd.com,en,/4khd/category/:category,Category,picture,False,False,False,,lib/routes/4khd/category.ts
4khd,4KHD,www.4khd.com,en,/4khd/,Latest,picture,False,False,False,,lib/routes/4khd/latest.ts
4ksj,4k 世界,4ksj.com,zh-CN,/4ksj/:id?,分类,multimedia,False,False,False,,lib/routes/4ksj/forum.tsx
4kup,4KUP,4kup.net,en,/4kup/category/:category,Category,picture,False,False,False,,lib/routes/4kup/category.ts
4kup,4KUP,4kup.net,en,/4kup/,Latest,picture,False,False,False,,lib/routes/4kup/latest.ts
4kup,4KUP,4kup.net,en,/4kup/popular/:period,Popular,picture,False,False,False,,lib/routes/4kup/popular.ts
4kup,4KUP,4kup.net,en,/4kup/tag/:tag,Tag,picture,False,False,False,,lib/routes/4kup/tag.ts
500px,500px 摄影社区,500px.com.cn,zh-CN,/500px/tribe/set/:id,部落影集,picture,False,False,False,,lib/routes/500px/tribe-set.tsx
50forum,经济 50 人论坛,50forum.org.cn,zh-CN,/50forum/,专家文章,study,False,False,False,,lib/routes/50forum/zhuanjia.ts
51cto,51CTO,51cto.com,zh-CN,/51cto/index/recommend,推荐,programming,False,False,False,,lib/routes/51cto/recommend.ts
51read,51Read,m.51read.org,zh-CN,/51read/article/:id,章节,reading,False,False,False,,lib/routes/51read/article.ts
52hrtt,52hrtt 华人头条,52hrtt.com,zh-CN,/52hrtt/:area?/:type?,新闻,new-media,False,False,False,,lib/routes/52hrtt/index.ts
52hrtt,52hrtt 华人头条,52hrtt.com,zh-CN,/52hrtt/symposium/:id?/:classId?,专题,new-media,False,False,False,,lib/routes/52hrtt/symposium.ts
56kog,明月中文网,56kog.com,zh-CN,/56kog/class/:category?,分类,reading,False,False,False,,lib/routes/56kog/class.ts
56kog,明月中文网,56kog.com,zh-CN,/56kog/top/:category?,榜单,reading,False,False,False,,lib/routes/56kog/top.ts
591,591 Rental house,rent.591.com.tw,zh-TW,/591/:country/rent/:query?,Rental house,other,False,False,False,,lib/routes/591/list.tsx
5eplay,5EPLAY,csgo.5eplay.com,zh-CN,/5eplay/article,新闻列表,game,False,False,False,,lib/routes/5eplay/index.ts
5music,五大唱片,5music.com.tw,zh-TW,/5music/new-releases/:category?,新貨上架,shopping,False,False,False,,lib/routes/5music/index.ts
69shu,69书吧,69shuba.cx,zh-CN,/69shu/article/:id,章节,reading,False,False,False,,lib/routes/69shu/article.ts
6park,留园网,club.6parkbbs.com,zh-CN,/6park/index/:id?/:type?/:keyword?,首页,,False,False,False,,lib/routes/6park/index.ts
